Category,Service,Pop-up Question(s),Answer(s),Estimated Time,Description,Service Active
Car Buying ,Used Car Inspection,1. What’s the main reason for the inspection?,"1.2  General check-up
1.3  Issue diagnosis
1.4  Preparing for sale
1.5  Not sure",1-2 hours,Perform a comprehensive inspection of a used vehicle to identify mechanical issues and estimate repair needs.,Y
,,2. Any known issues with the vehicle?,"2.1  Yes
2.2  No
2.3  Not sure",,,
,,3. Would you like a repair estimate included?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Car Won’t Start (Battery / Starter Issue),1. Do you hear clicking or cranking?,"1.1  Yes
1.2  No",30–60 min,"Diagnose no-start issues related to the battery, starter, or electrical system and recommend the fix.",Y
,,2. Do dashboard lights turn on?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Car Battery Dead / Needs Boost,1. Is the car completely dead?,"1.1  Yes
1.2  No",15–30 min,Provide a battery boost to get your vehicle started and check for underlying issues.,Y
,,2. Do you need a jump-start now?,"2.1  Yes
2.2  No",,,
,,3. Does the car stay running after disconnecting the jump-start?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Battery Replacement,1. Do you already have a battery?,"1.1  Yes
1.2  No",20–30 min,Replace your vehicle battery to restore reliable starting and electrical performance.,Y
,,2. Is the current battery completely dead?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Battery Keeps Dying (Charging System Check),1. How often does the battery die?,"1.1  Once
1.2  Repeatedly",30–60 min,Test the charging system to identify battery drain or alternator-related issues.,Y
,,2. Are there any warning lights on?,"2.1  Yes
2.2  No",,,
,,3. Are there any aftermarket accessories plugged into the vehicle?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Car Not Charging (Alternator Issue),1. Is the battery light on?,"1.1  Yes
1.2  No",45–75 min,Diagnose alternator and charging system faults to restore proper battery charging.,Y
,,2. Does the car die while driving?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Alternator / Charging System Service,1. Any dim lights or electrical issues?,"1.1  Yes
1.2  No",60–120 min,Service or replace alternator components to ensure consistent power supply.,Y
,,2. Battery recently replaced?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Starter Replacement,1. Do you hear a clicking sound?,"1.1  Yes
1.2  No",60–120 min,Replace a faulty starter motor to restore proper engine starting.,Y
,,2. Engine not cranking at all?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,"Lights Not Working (Headlights, Brake Lights, Signals)",1. Which lights are out?,"1.1  Headlights
1.2  Brake
1.3  Signals",15–45 min,Diagnose and repair lighting issues to ensure visibility and road safety.,Y
,,2. Fully out or intermittent?,,,,
Electrical & Lights ,Dashboard Warning Lights On,1. Which light is on?,"1.1  Battery
1.2  Engine
1.3  ABS
1.4  Other",30–60 min,Scan and diagnose dashboard warning lights to identify system faults.,Y
,,2. Is the car driving normally?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Wipers Not Working (Blades / Motor / Pump),1. Are wipers not moving or just ineffective?,,30–60 min,Diagnose and repair wiper system issues for clear visibility in all conditions.,Y
,,2. Washer fluid spraying?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Power Locks Not Working,1. All doors or just one?,,45–75 min,Diagnose and repair door lock system faults for proper vehicle security.,Y
,,2. Using key fob or interior switch?,2.2  Add comment,,,
Electrical & Lights ,Backup Camera / Sensors Not Working,1. Camera not showing or sensors not beeping?,,45–90 min,Diagnose and repair parking camera or sensor issues for safe reversing.,Y
,,2. Any recent impact or damage?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Electrical Issue Diagnosis,1. What issue are you experiencing?,"1.1  Short input
1.2  select",60–120 min,Perform a full electrical system diagnosis to locate faults and recommend repairs.,Y
,,2. Is it constant or intermittent?,,,,
Electrical & Lights ,Key Fob Battery Replacement,1. Is the key fob unresponsive or weak?,"1.1  Yes
1.2  No",5–10 min,Replace the key fob battery to restore remote locking and unlocking functionality.,Y
,,2. Do you have a spare key?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Battery Test,1. Any starting issues?,"1.1  Yes
1.2  No",10–20 min,Test battery health and performance to determine if replacement is needed.,Y
,,2. Battery age known?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Parasitic Draw Testing (Battery Drain),1. Does the battery die overnight?,"1.1  Yes
1.2  No",60–120 min,Identify electrical drains causing battery discharge when the vehicle is off.,N
,,2. Any recent electrical installs?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Battery Cable / Terminal Service or Replacement,1. Any corrosion on terminals?,"1.1  Yes
1.2  No",20–45 min,Clean or replace battery cables and terminals to restore proper electrical flow.,N
,,2. Intermittent power issues?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Headlight / Taillight / Turn Signal Bulb Replacement,1. Which bulb needs replacement?,"1.1  Headlight
1.2  Taillight
1.3  Turn signal",10–25 min,Replace faulty bulbs to maintain visibility and compliance with road safety laws.,N
,,2. Is the bulb fully out or dim?,"2.1  Fully out
2.2  Dim",,,
,,3. Is the bulb an aftermarket type?,"3.1  LED
3.2  HID
3.3  Halogen
3.4  OEM / Standard
3.5  Not Sure",,,
Electrical & Lights ,Brake Light Switch Replacement,1. Brake lights not turning on?,"1.1  Yes
1.2  No",30–60 min,Replace the brake light switch to restore proper brake light and system function.,N
,,2. Cruise control issues?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Windshield Wiper Motor Replacement,1. Are the wipers not moving at all?,"1.1  Yes
1.2  No",60–120 min,Replace faulty wiper motor to restore proper windshield clearing.,N
,,"2. Is only one wiper arm moving, or are none moving?","2.1  One arm moving
2.2  None moving",,,
,,3. Are you noticing any unusual noises from the wipers?,"3.1  Yes
3.2  No",,,
Electrical & Lights ,Windshield Washer Pump Replacement,1. No fluid spraying?,"1.1  Yes
1.2  No",30–60 min,Replace washer pump to restore windshield cleaning function.,N
,,2. Pump noise present?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Ignition Switch Replacement,1. Key not turning or no response?,"1.1  Yes
1.2  No",60–120 min,Replace ignition switch to restore proper vehicle startup and electrical control.,N
,,2. Any intermittent starting issues?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Multi-Function Switch Replacement,1. Which function not working?,"1.1  Signals
1.2  Wipers
1.3  Lights",60–120 min,Replace the multi-function switch to restore control of key driving functions.,N
,,2. Is it intermittent or fully not working?,,,,
Electrical & Lights ,Horn Replacement,1. Horn not working at all?,"1.1  Yes
1.2  No",30–60 min,Replace faulty horn to ensure proper vehicle signaling and safety.,Y
,,2. Any clicking sound when pressed?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Power Door Lock/Window Glass Not Working ,1. Which door is affected?,"1.1  Left front
1.2  Right front
1.3  Left rear
1.4  Right rear",60–120 min,Replace faulty actuator to restore automatic locking and unlocking.,Y
,,2. Are you hearing any unusual noise when locking or unlocking?,"2.1  Yes
2.2  No",,,
Electrical & Lights ,Backup Sensor Replacement,1. Which sensor not working?,"1.1  Front
1.2  Rear
1.3  Unsure",45–90 min,Replace faulty parking sensors to restore accurate obstacle detection.,N
,,2. Constant beeping or no sound?,"2.1 Beeping 
2.2 No Sound ",,,
Electrical & Lights ,Park Assist Camera Replacement,1. Is the camera blank or blurry?,"1.1 Blank
1.2 Blurry
1.3 Other (please descibe)",60–120 min,Replace malfunctioning backup camera to restore clear rear visibility.,Y
,,2. Any visible damage?,"2.1  Yes
2.2  No",,,
Engine ,Engine Diagnosis,1. What symptoms are you noticing?,,60–120 min,Perform a full engine diagnostic to identify faults and recommend repairs.,Y
,,2. Is the car drivable?,"2.1  Yes
2.2  No",,,
Engine ,Engine Running Rough / Misfiring,1. Is the engine shaking or jerking?,"1.1  Yes
1.2  No",45–75 min,"Diagnose misfires caused by ignition, fuel, or air issues to restore smooth engine performance.",Y
,,2. Check engine light on?,"2.1  Yes
2.2  No",,,
Engine ,Loss of Power / Slow Acceleration,1. Happens during acceleration?,"1.1  Yes
1.2  No",45–75 min,"Identify performance issues affecting acceleration such as fuel delivery, airflow, or engine faults.",N
,,2. Any warning lights?,"2.1  Yes
2.2  No",,,
Engine ,Engine Won’t Start (Fuel / Air Issue),1. Does the engine crank?,"1.1  Yes
1.2  No",45–75 min,Diagnose fuel or air supply issues preventing the engine from starting,Y
,,2. Smell fuel or notice no fuel?,,,,
Engine ,Hard Start (Takes Multiple Attempts),1. Happens when cold or warm?,,45–75 min,Identify causes of delayed starting such as fuel pressure loss or ignition issues.,N
,,2. Recently getting worse?,"2.1  Yes
2.2  No",,,
Engine ,Engine Stalling,1. When does it stall?,"1.1  Idle
1.2  Driving",60–90 min,"Diagnose stalling caused by fuel, airflow, or electrical system faults.",N
,,2. Does it restart easily?,"2.1  Yes
2.2  No",,,
Engine ,Engine Overheating,1. Temperature gauge high?,"1.1  Yes
1.2  No",45–75 min,Identify cooling system or internal issues causing the engine to overheat.,Y
,,2. Coolant level low?,"2.1  Yes
2.2  No
2.3  Unsure",,,
Engine ,Engine Knocking or Ticking Noise,1. Noise at idle or acceleration?,,45–90 min,Diagnose internal or valvetrain noises to prevent serious engine damage.,Y
,,2. Gets louder with speed?,"2.1  Yes
2.2  No",,,
Engine ,Check Engine Light (Engine Related),1. Light flashing or solid?,,30–60 min,Scan engine codes and diagnose faults affecting engine performance and emissions.,Y
,,2. Any performance issues?,"2.1  Yes
2.2  No",,,
Engine ,Oil Leak (Engine Area),1. Where is the leak?,"1.1  Top
1.2  Bottom
1.3  Unsure",45–90 min,Locate and diagnose oil leaks to prevent engine damage and fluid loss.,Y
,,2. Any burning smell?,"2.1  Yes
2.2  No",,,
Engine ,Low Oil Pressure Warning,1. Warning constant or intermittent?,,45–75 min,Diagnose oil pressure issues to protect engine components from damage.,N
,,2. Any engine noise?,"2.1  Yes
2.2  No",,,
Engine ,Burning Oil Smell / Oil Consumption,1. Smell while driving or after?,,45–90 min,Identify oil leaks or internal burning issues affecting engine health.,Y
,,2. Oil level dropping quickly?,"2.1  Yes
2.2  No",,,
Engine ,Engine Vibration at Idle (Rough Idle),1. Only at idle?,"1.1  Yes
1.2  No
1.3  Is it cold or warm engine condion",45–75 min,"Diagnose rough idle caused by misfires, mounts, or airflow issues.",Y
Engine ,Fuel Delivery Issue / Fuel Pump Problem,1. Loss of power or stalling?,"1.1  Yes
1.2  No",60–90 min,Diagnose fuel system issues affecting pressure and engine performance,N
,,2. Hard starting?,"2.1  Yes
2.2  No",,,
Engine ,Spark Plug Replacement / Tune-Up,1. Any misfires or rough running?,"1.1  Yes
1.2  No",45–90 min,"Replace spark plugs to improve ignition, efficiency, and performance.",Y
,,2. When last replaced?,,,,
Engine ,Ignition Coil Replacement,1. Check engine light on?,"1.1  Yes
1.2  No",45–90 min,Replace faulty ignition coils to restore proper engine firing.,N
,,2. Misfire symptoms?,"2.1  Yes
2.2  No",,,
Engine ,Fuel System Service (Injectors / Fuel Delivery),1. Poor fuel economy or rough running?,"1.1  Yes
1.2  No",60–120 min,Clean or service fuel system components to restore proper fuel delivery.,N
,,2. Any hesitation?,"2.1  Yes
2.2  No",,,
Engine ,Throttle Body Service / Replacement,1. Rough idle or hesitation?,"1.1  Yes
1.2  No",45–90 min,Clean or replace throttle body to improve airflow and engine response.,Y
,,2. Any throttle response issues?,,,,
Engine ,Air Intake / Filter Service,1. When last changed?,,15–30 min,Replace or clean air filter to ensure proper airflow and engine efficiency.,Y
,,2. Driving in dusty conditions?,"2.1  Yes
2.2  No",,,
Engine ,PCV Valve Replacement,1. Oil consumption issues?,"1.1  Yes
1.2  No",30–60 min,Replace PCV valve to regulate engine pressure and reduce oil issues,N
,,2. Rough idle?,"2.1  Yes
2.2  No",,,
Engine ,Serpentine Belt Replacement,1. Any squealing noise?,"1.1  Yes
1.2  No",30–60 min,Replace worn belt to ensure proper operation of engine accessories.,Y
,,2. Cracks visible on belt?,"2.1  Yes
2.2  No",,,
Engine ,Timing Belt ,"Replacement, mainteance, damage, starting issue ",,DO NOT GIVE HOUR OR PRICE,,Y
Engine ,Engine Mount Replacement,1. Excess vibration?,"1.1  Yes
1.2  No",60–120 min,Replace worn mounts to reduce vibration and stabilize the engine.,Y
,,2. Clunk when shifting?,"2.1  Yes
2.2  No",,,
Engine ,Radiator Replacement,1. Any visible leaks?,"1.1  Yes
1.2  No",90–150 min,Replace radiator to restore proper cooling and prevent overheating.,Y
,,2. Overheating issues?,"2.1  Yes
2.2  No",,,
Engine ,Water Pump Replacement,1. Coolant leak near engine?,"1.1  Yes
1.2  No",90–150 min,Replace water pump to maintain coolant circulation and engine temperature.,Y
,,2. Overheating or noise?,,,,
Engine ,Thermostat Replacement,1. Engine overheating or not warming up?,,45–90 min,Replace thermostat to regulate engine temperature properly.,Y
,,2. Temperature fluctuating?,"2.1  Yes
2.2  No",,,
Engine ,Cooling Fan / Motor Service,1. Fan running when hot?,"1.1  Yes
1.2  No",60–120 min,Repair or replace cooling fan components to prevent overheating.,Y
,,2. Overheating in traffic?,,,,
Engine ,Cooling System Flush,1. When last coolant service?,,30–60 min,Flush old coolant and contaminants to maintain cooling efficiency.,Y
,,2. Any overheating issues?,"2.1  Yes
2.2  No",,,
Engine ,Coolant Leak Repair,1. Where is leak visible?,,60–120 min,Identify and repair coolant leaks to prevent overheating.,Y
,,2. Coolant level dropping?,"2.1  Yes
2.2  No",,,
Engine ,Valve Cover Gasket Replacement,1. Oil leaking from top of engine?,"1.1  Yes
1.2  No",60–120 min,Replace gasket to stop oil leaks from the engine top.,Y
,,2. Burning smell?,"2.1  Yes
2.2  No",,,
Engine ,Oil Pan / Gasket Replacement,1. Oil leak under vehicle?,"1.1  Yes
1.2  No",90–150 min,Replace oil pan gasket to stop leaks from the bottom of the engine.,Y
,,2. Oil spots when parked?,"2.1  Yes
2.2  No",,,
Engine ,Oil Filter Housing Gasket Replacement,1. Oil leak near filter area?,"1.1  Yes
1.2  No",60–120 min,Replace gasket to stop leaks around the oil filter housing.,Y
,,2. Recent oil service?,"2.1  Yes
2.2  No",,,
Engine ,Oil Pressure Sensor Replacement,1. Oil pressure warning light on?,"1.1  Yes
1.2  No",30–60 min,Replace faulty sensor to ensure accurate oil pressure readings.,Y
,,2. Any leaks near sensor?,,,,
Engine ,Oil Cooler / Lines Replacement,1. Oil leaking near cooler lines?,,90–150 min,Replace oil cooler components to maintain proper oil temperature and flow.,Y
,,2. Overheating or oil mixing issues?,,,,
Engine ,EGR Valve / System Service,1. Rough idle or stalling?,"1.1  Yes
1.2  No",60–120 min,Clean or replace EGR system to improve emissions and engine performance.,Y
,,2. Check engine light on?,"2.1  Yes
2.2  No",,,
Engine ,Exhaust Manifold / Gasket Replacement,1. Loud exhaust noise?,"1.1  Yes
1.2  No",90–150 min,Repair exhaust leaks to restore performance and reduce noise.,Y
,,2. Smell of exhaust?,"2.1  Yes
2.2  No",,,
Engine ,Oxygen Sensor / Air-Fuel Sensor Replacement,1. Check engine light on?,"1.1  Yes
1.2  No",45–90 min,Replace faulty sensors to optimize fuel mixture and emissions.,Y
,,2. Poor fuel economy?,"2.1  Yes
2.2  No",,,
Engine ,Turbo / Boost / Wastegate Issues (if applicable),1. Loss of boost/power?,"1.1  Yes
1.2  No",90–180 min,Diagnose turbo system issues affecting power and performance.,Y
,,2. Whistling or smoke?,"2.1  Yes
2.2  No",,,
Engine ,Timing Cover / Gasket Replacement,1. Oil leak from front of engine?,"1.1  Yes
1.2  No",120–240 min,Replace timing cover gasket to stop leaks and protect engine components.,Y
,,2. Any unusual noise?,,,,
Engine ,Timing Chain / Gear Components,1. Rattling noise at startup?,"1.1  Yes
1.2  No",180–300 min,Service or replace timing components to maintain engine synchronization.,Y
,,2. High mileage engine?,"2.1  Yes
2.2  No",,,
Engine ,Camshaft Seal Replacement,1. Oil leak near camshaft area?,"1.1  Yes
1.2  No",90–150 min,Replace camshaft seals to prevent oil leaks and contamination.,Y
,,2. Burning smell?,"2.1  Yes
2.2  No",,,
Engine ,Intake Manifold / Gasket Replacement,1. Rough idle or vacuum leaks?,"1.1  Yes
1.2  No",90–150 min,Repair intake leaks to restore proper airflow and engine performance.,Y
,,2. Coolant or air leak signs?,,,,
Engine ,Cylinder Head / Head Gasket Repair,1. White smoke or overheating?,"1.1  Yes
1.2  No",300–600 min,Repair major internal engine damage to restore compression and prevent failure.,Y
,,2. Coolant loss with no leak?,"2.1  Yes
2.2  No",,,
Engine ,Variable Valve Timing (VVT) Solenoid Replacement,1. Check engine light on?,"1.1  Yes
1.2  No",45–90 min,Replace VVT solenoid to restore proper engine timing and efficiency.,Y
,,2. Performance issues at certain speeds?,,,,
Performance and Modification ,ECU Tuning / Performance Tune,1. Stock vehicle or modified?,,60–120 min,"Reprogram the ECU to improve power, throttle response, and overall engine performance.",N
,,2. Any performance goals?,"2.1  Power
2.2  Efficiency",,,
Performance and Modification ,Cold Air Intake Installation,1. Do you have the intake kit?,"1.1  Yes
1.2  No",30–60 min,Install a cold air intake to increase airflow and enhance engine performance and sound.,Y
,,2. Stock or modified engine?,,,,
Performance and Modification ,Performance Exhaust Upgrade (Bolt-On Systems),1. Full system or axle-back?,,60–120 min,Install a performance exhaust system to improve sound and exhaust flow.,N
,,2. Louder sound preference?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Suspension Upgrade (Lowering Springs / Coilovers),1. Springs or coilovers?,,120–240 min,"Upgrade suspension components to improve handling, stance, and ride quality.",N
,,2. Comfort or performance focus?,,,,
Performance and Modification ,Wheel & Spacer Installation,1. New wheels or spacers?,,30–60 min,Install wheels or spacers to improve vehicle stance and fitment.,N
,,2. Do you need torque check?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Performance Brake Upgrade (Pads & Rotors),1. Street or performance setup?,,60–120 min,Upgrade brake components for improved stopping power and heat resistance.,Y
,,2. Any current brake issues?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Remote Starter Installation,1. Automatic or manual vehicle?,,90–180 min,Install a remote starter system for convenient vehicle start from a distance.,Y
,,2. Do you have a kit?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Apple CarPlay / Android Auto Upgrade,1. Wired or wireless preference?,,60–120 min,"Upgrade your system to enable smartphone integration for navigation, calls, and media.",Y
,,2. Factory screen or aftermarket?,,,,
Performance and Modification ,Aftermarket Stereo / Subwoofer Installation,1. Full system or sub only?,,90–180 min,Install audio components to enhance sound quality and bass performance.,Y
,,2. Do you have components?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Backup Camera Installation,1. Factory screen available?,"1.1  Yes
1.2  No",60–120 min,Install a backup camera system to improve rear visibility and safety.,Y
,,2. Need wiring integration?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Dash Cam Installation,1. Front only or front/rear?,,30–90 min,Install dash cam for continuous recording and driving security.,Y
,,2. Hardwire or plug-in?,,,,
Performance and Modification ,LED Lighting Upgrade (Interior / Exterior),1. Interior or exterior lights?,,30–60 min,Upgrade lighting to LED for improved visibility and modern styling.,Y
,,2. Color preference?,,,,
Performance and Modification ,Sway Bar Installation,"1. Front, rear, or both?",,60–120 min,Install sway bars to improve cornering stability and reduce body roll.,N
,,2. Handling upgrade goal?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Throttle Body Cleaning Service ,,,,,Y
Performance and Modification ,Lift Kit Installation (Trucks / SUVs),1. Lift height?,,180–360 min,Install lift kit to increase ground clearance and off-road capability.,Y
,,2. Off-road or appearance?,,,,
Performance and Modification ,Performance Tire Installation,1. Do you have tires already?,"1.1  Yes
1.2  No",30–60 min,"Install performance tires for improved grip, handling, and safety.",Y
,,2. Seasonal or performance tires?,,,,
Performance and Modification ,Interior Ambient Lighting Upgrade,1. Single color or multi-color?,,60–120 min,Install ambient lighting to enhance interior aesthetics and driving experience.,Y
,,2. App-controlled?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Custom Audio / Speaker Upgrades,1. Replace speakers or full system?,,90–180 min,Upgrade speakers and audio components for premium sound quality.,Y
,,2. Sound preference?,"2.1  Bass
2.2  Clarity",,,
Performance and Modification ,USB / Charging Port Installation,1. Front or rear install?,,30–60 min,Install additional charging ports for convenience and device connectivity.,Y
,,2. Fast charging needed?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Grille / Spoiler / Exterior Trim Installation,1. Which part installing?,,30–90 min,Install exterior components to enhance vehicle styling and appearance.,Y
,,2. OEM or aftermarket?,,,,
Performance and Modification ,Roof Rack Installation,1. Crossbars or full rack?,,30–60 min,Install roof rack system for additional cargo carrying capacity.,Y
,,2. Vehicle has mounting points?,"2.1  Yes
2.2  No",,,
Performance and Modification ,Engine Bay Cosmetic Upgrades,"1. Covers, caps, or full kit?",,30–90 min,Enhance engine bay appearance with cosmetic upgrades and detailing components.,Y
,,2. Show or daily use?,,,,
Performance and Modification ,Intake + Tune Performance Packages,1. Intake already installed?,"1.1  Yes
1.2  No",90–180 min,Combine intake upgrade with ECU tuning for noticeable performance gains.,N
,,2. Performance goal?,,,,
Performance and Modification ,Exhaust Component Bolt-On Mods,1. Which component?,"1.1  Muffler
1.2  Resonator
1.3  etc.",60–120 min,Install bolt-on exhaust components to customize sound and performance.,Y
,,2. Sound preference?,,,,
Doors ,Door Won’t Open / Close Properly (Diagnosis),1. What’s happening?,"1.1  Won’t open
1.2  Won’t close
1.3  Hard to open
1.4  Misaligned",20–45 minutes,"We inspect your door to identify why it’s stuck, misaligned, or not closing properly and recommend the right fix.",Y
,,2. Which door?,"2.1  Driver
2.2  Passenger
2.3  Rear
2.4  Not sure",,,
Doors ,Door Latch Replacement,1. Which door needs repair?,,45–90 min,We replace the faulty door latch so your door opens and closes securely again.,Y
,,2. Is the door currently stuck closed?,"2.1  Yes
2.2  No",,,
Doors ,Door Lock Not Working (Actuator / Lock Repair),1. What’s the issue?,"1.1  Won’t lock
1.2  Won’t unlock
1.3  Intermittent",45–90 min,We fix or replace the locking mechanism so your door locks and unlocks properly.,Y
,,2. Is it affecting one door or multiple?,,,,
Doors ,Exterior Door Handle Replacement,1. Which door?,,30–60 min,We replace broken or loose exterior handles so you can open your door from outside normally.,Y
,,2. Is the handle completely broken or just loose?,,,,
Doors ,Interior Door Handle Replacement,1. Which door?,,30–60 min,We replace the inside door handle so you can safely open the door from within the vehicle.,Y
,,"2. Is it snapped, loose, or not opening the door?",,,,
Doors ,Window Not Working (Regulator / Motor Repair),1. What’s happening?,"1.1  Won’t move
1.2  Stuck down
1.3  Slow
1.4  Noise",60–120 min,We repair or replace the window motor or regulator so your window moves up and down properly.,Y
,,2. Which window?,,,,
Doors ,Lubricate Doors / Hinges,1. Which doors need service?,"1.1  All
1.2  Specific door",10–20 min,We lubricate door hinges and moving parts to eliminate squeaks and ensure smooth operation.,Y
,,2. Any squeaking noise?,"2.1  Yes
2.2  No",,,
Doors ,Door Alignment / Adjustment,1. What’s the issue?,"1.1  Not closing
1.2  Misaligned
1.3  Wind noise",30–60 min,We adjust your door alignment so it closes properly and seals correctly.,Y
,,2. Which door?,,,,
Doors ,Trunk / Tailgate Won’t Open (Diagnosis),1. What’s happening?,"1.1  Won’t open
1.2  Stuck
1.3  Opens manually only",20–45 min,We diagnose why your trunk or tailgate won’t open and determine the required repair.,Y
,,2. Is it electric or manual?,,,,
Doors ,Trunk / Tailgate Latch Replacement,1. Is it stuck closed?,"1.1  Yes
1.2  No",45–90 min,We replace the faulty latch so your trunk or tailgate opens and closes securely.,Y
,,2. Manual or power trunk?,,,,
Doors ,Trunk / Tailgate Lift Support / Shocks Replacement,1. Does the trunk fall down on its own?,"1.1  Yes
1.2  No",20–40 min,We replace worn lift supports so your trunk or tailgate stays open safely.,Y
,,2. One side or both sides weak?,,,,
Doors ,Door Lock Relay / Switch Replacement,1. Are locks not responding to buttons?,"1.1  Yes
1.2  No",45–75 min,We replace faulty switches or relays to restore proper door lock controls.,Y
,,2. One door or all doors affected?,,,,
Doors ,Door Striker Plate Replacement,1. Door not latching properly?,"1.1  Yes
1.2  No",30–60 min,We replace or adjust the striker plate so your door latches securely.,N
,,2. Which door?,,,,
Doors ,Sliding Door Track / Roller Adjustment,1. Is the door stuck or hard to slide?,,45–90 min,We adjust or repair sliding door tracks so the door opens and closes smoothly.,Y
,,2. Any grinding or noise?,,,,
Doors ,Hood Latch / Hood Latch Adjustment,1. Hood won’t open or won’t close?,,20–45 min,We repair or adjust the hood latch so it opens and closes safely.,Y
,,2. Is the latch stuck?,,,,
Doors ,Hood Lift Support / Shocks Replacement,1. Does the hood fall down?,"1.1  Yes
1.2  No",15–30 min,We replace worn hood supports so your hood stays open securely.,Y
Doors ,Trunk / Tailgate Lock Cylinder Replacement,1. Key not turning or stuck?,,45–90 min,We replace the physical lock cylinder so your key works properly in the trunk.,Y
,,2. Manual key or keyless entry vehicle?,,,,
Doors ,Trunk / Tailgate Lock Solenoid Replacement,1. Trunk not opening with button?,,60–120 min,We replace the solenoid responsible for electronic trunk release.,Y
,,2. Does it work manually?,,,,
Doors ,Trunk / Tailgate Locking Assembly Replacement,1. Is the trunk/tailgate not locking or unlocking?,"1.1  Yes
1.2  No",60–120 min,We replace the complete trunk/tailgate locking assembly so your trunk locks and unlocks reliably.,Y
,,2. Manual or electronic locking system?,,,,
Doors ,Trunk Latch Release Cable Replacement,1. Is the release cable broken or stretched?,"1.1  Yes
1.2  No",45–90 min,We replace the trunk release cable so your trunk opens smoothly from inside or with the release button.,Y
,,2. Does the trunk open manually or with a button?,,,,
Doors ,Trunk Lock Actuator Replacement,1. Is the trunk not responding to the remote or button?,"1.1  Yes
1.2  No",60–120 min,We replace the actuator that controls electronic trunk locking to restore proper functionality.,Y
,,2. Works manually?,"2.1  Yes
2.2  No
2.3  Not sure",,,
Doors ,Trunk Striker Plate Replacement,1. Trunk not latching properly?,"1.1  Yes
1.2  No
1.3  Not sure",30–60 min,We replace or adjust the striker plate to ensure the trunk latches securely every time.,Y
,,2. Manual or power trunk?,,,,
Doors ,Lubricate Hood / Trunk Hinge,1. Any squeaking or stiffness?,"1.1  Yes
1.2  No",10–20 min,We lubricate hinges and moving parts on your hood and trunk to eliminate squeaks and ensure smooth operation.,Y
,,2. Which parts need lubrication?,"2.1  Hood
2.2  Trunk
2.3  Both
2.4  Not sure",,,